Phrasal Verb,Meaning,Example
tee off on,Criticise.,She TEED OFF ON me about the work I
tee up,Place a golf ball on a short plastic or,wooden stick before hitting it at the start
tee up,Make preparations before starting or,launching something.They are TEEING UP for the conference
tell apart,See a difference between two things.,They're identical twins so I cannot TELL
tell off,Chide; talk angrily to someone about,something they've done wrong..His fiancée TOLD him OFF for arriving
tell on,Report someone to an authority.,The pupil TOLD ON the others for
text out,Cancel an appointment by sending a text,message.I was feeling too tired to go and TEXTED
think over,Consider something carefully.,I've THOUGHT it OVER and have made
think up,"Create or invent something, especially",when lying.I'd better THINK UP a good reason for
throw in,"Join, accompany.",May I THROW IN with you? My
throw in,Add something to a deal.,They THREW IN a printer so I bought it
throw off,Remove item of clothing quickly.,I THREW OFF my shoes and flopped on
throw off,Get rid of.,It took me ages to THROW OFF the cold.
throw off,Produce light or heat.,The lamp THROWS OFF a lot of heat.
throw on,Put clothes on quickly.,I THREW ON a jacket and rushed
throw out,Get rid of.,I THREW OUT all my old clothes to
throw out,Dislocate.,Edward slipped on the ice and THREW
throw out,Reject.,The committee THREW the proposal
throw out,"Produce heat, fumes.",The car THROWS OUT a lot of smoke.
throw out,Expel.,The school THREW him OUT for
throw over,End a relationship with someone.,She THREW me OVER last year.
throw over,"Reject, refuse to accept.",They THREW OVER the agreement.
throw up,Vomit.,The prawns she ate at lunch made her
throw up,"Produce problems, results, ideas, etc.",The talks THREW UP some interesting
throw up,Leave a job or position suddenly.,She THREW UP her job to go travelling.
throw up,Create clouds of dust or splash water into,the air.The road was bumpy and the car in front
tick along,Make reasonable progress without any,serious problems.Things are TICKING ALONG at work
tick away,Pass (of time).,The last few seconds TICKED AWAY
tick by,Pass (of time).,The seconds TICKED BY and the team
tick off,Annoy.,She really TICKS me OFF when she
tick off,Scold.,He TICKED me OFF for arriving late.
tick off,Put a mark on an item in a list when it has,been dealt with.She TICKED OFF our names when we
tick over,"Continue working, but without improving.",The company TICKED OVER while she
tick over,Operate but without moving (engines).,The mechanic left the engine TICKING
tide over,Use something carefully so as not to finish,it.This £50 will have to TIDE me OVER
tidy up,Put things in the correct place in a room.,I TIDIED UP my bedroom because it was
tie back,Fasten or secure so that it doesn't obstruct.,She TIED her hair BACK before playing
tie down,Secure something to prevent it moving.,They TIED him DOWN to stop him
tie down,Remove or restrict freedom.,Marriage TIES you DOWN.
tie down,Stop people (often police or military),going where they are needed.The army were TIED DOWN with the
tie in,"Agree, be connected or support.",The theory TIES IN with what the police
tie in,Associate with.,He is TIED IN somehow with the crime
tie in with,Occur at the same time.,The publication TIES IN WITH the
tie up,Tie or fasten something securely.,They TIED UP the hostages so that they
tie up,Stop someone doing something.,Work has TIED me UP all week.
tie up,Fasten.,I TIED UP my shoelaces.
tie up,"Block a road, etc.",The convoy TIED UP the road for an
tighten up,Make something more secure or function,better.They're TIGHTENING UP security for
time out,End or close because of a time limit.,The program TIMED OUT before I could
time out,End or close something because of a time,limit.The program TIMED me OUT after
tip off,Secretly inform the police or authorities.,The police arrested the drug dealer after
tip over,"Spill, make something fall on its side.",I TIPPED my coffee OVER and ruined
tire of,Get bored of something.,She soon TIRED OF the course and
tire out,Make someone exhausted.,Working so much TIRES me OUT.
toddle off,"Leave, go home.","It's geting late, so I'm going to TODDLE"
tone down,Make something sound more moderate.,The Minister tried to TONE DOWN what
tool up,Provide equipment.,The company spent a lot on TOOLING
tool up,Arm yourself or somebody.,The gangsters got TOOLED UP before
tootle off,"Leave, depart.","It's getting late, so we're going to"
top off,Finish something in a special way.,He complained for an hour and to TOP it
top out,"Stop increasing, reach the highest point.",The temperature TOPPED OUT at forty
top up,Refill something that isn't empty yet.,Shall I TOP UP your drink while I'm
toss about,"Discuss something freely and openly, but",not very seriously.WE TOSSED ideas ABOUT before the
toss around,"Discuss something freely and openly, but",not very seriously.We TOSSED their plan AROUND a bit
toss back,Drink quickly.,I TOSSED BACK my beer and left.
toss down,Drink quickly.,I TOSSED a couple of drinks DOWN
toss for,Make a decision by throwing a coin and,seeing which side lands face up.We TOSSED FOR who would start.
toss off,Write something quickly and carelessly.,I TOSSED OFF the essay the night before
toss up,Decide something by throwing a coin and,seeing which side lands face up..We TOSSED UP to see who would kick
touch down,Land (planes).,The plane TOUCHED DOWN at Narita
touch for,Borrow money.,I TOUCHED him FOR some cash as I'd
touch off,Cause a problem to occur.,The government's decision TOUCHED
touch on,Mention.,"The talk TOUCHED ON the issue, but"
touch up,Improve the appearance of something.,"I couldn't be bothered to redecorate, so I"
touch up,Touch someone in a sexual way.,She got angry when he tried to TOUCH
touch upon,Mention.,They didn't TOUCH UPON the subject
tow away,"Remove a vehicle, especially if parked",illegally.I parked in a no-parking zone and they
toy at,Pretend to think about or think about in a,casual way.She TOYED AT getting them to help her
toy over,Think about something.,"I TOYED OVER the idea for a while, but"
toy with,Not eat much of a meal.,"It was horrible, so I just TOYED WITH"
toy with,"Consider something, but not very",We TOYED WITH the idea of moving to
toy with,Move or play with something to occupy,your hands.He TOYED WITH his cup.
toy with,Treat insincerely.,He thought she loved him but she was
track down,Find after a long search.,It took me ages to TRACK them DOWN
trade down,Sell something and replace it with,something cheaper.Their house it too large now that their
trade in,Exchange something old as part of the,price of something new.She TRADED IN her old car for the new
trade in,Leave your wife or husband to marry,someone younger.He TRADED IN his wife when he
trade off,"Bargain, make a deal or compromise.",A longer working week was TRADED
trade off,Accept something you don't really want to,get something you do want.We had to TRADE OFF space for the
trade on,"Exploit, use something to your advantage.",He TRADES ON their insecurity to get
trade up,Buy larger or more expensive items.,British wine drinkers have TRADED UP
trade up,Leave your wife or husband and marry,"someone better looking, richer, etc.She supported him for years while he was"
trade upon,"Exploit, use to your advantage.",They TRADE UPON their reputation to
train up,Teach someone the specific skills they will,need to carry out a job or task.I have been TRAINING my new assistant
trip out,Be under the influence of psychoactive,drugs.After taking the LSD he TRIPPED OUT
trip over,Fall.,I TRIPPED OVER and hurt my knee.
trip over,Fall because you hit an obstacle.,I TRIPPED OVER the kerb and broke my
trip up,Make a mistake.,I TRIPPED UP in the interview when
trot off,Leave.,The meeting was over so I TROTTED
trot off to,Go somewhere.,I TROTTED OFF TO see the dentist.
trot out,Make a statement (meant negatively).,The spokeswoman TROTTED OUT the
trump up,Charge or accuse someone falsely.,The police TRUMPED UP the charges
try back,Phone back.,"I called but they weren't in, so I'll TRY"
try for,Make an attempt to get something.,I'm going to TRY FOR the job.
try it on,Provoke someone by being annoying or,behaving badly.The children were TRYING IT ON all
try it on,"Attempt to get something, usually by","deceit, without great hopes of success.He knew I wasn't got to let him do it- he"
try on,Put clothes on to see if they fit.,I TRIED the jacket ON before I bought it.
try out,Test.,Scientists are TRYING OUT a new drug
try out,Test something to see if you like it or want,to buy it.I TRIED OUT the program before I
try out for,Be tested for a sports team.,He TRIED OUT FOR the baseball team.
tuck away,Put something in a safe place.,I TUCKED the money AWAY in my
tuck away,Eat a lot.,We TUCKED AWAY a huge dinner
tuck in,Tidy the ends of items of clothing by,placing them inside something.I forgot to TUCK my shirt IN.
tuck in,Start eating enthusiastically.,The dinner smelled so good I couldn't
tuck in,"Arrange the sheets, duvet or blankets to","make someone, usually a child,"
tuck into,Start eating something.,I was starving and TUCKED INTO the
tuck up,"Arrange the sheets, duvet or blankets to","make someone, usually a child,"
tune in,Watch or listen to a,TV or radio show.Be sure to TUNE IN next week for the
tune in to,Watch or listen to a,TV or radio
tune out,"Ignore, not pay attention.",I TUNED him OUT because he was
tune up,Improve the performance of a machine or,engine.He's TUNED his car UP for the race.
tune up,Tune a musical instrument before playing.,The orchestra TUNED UP their
turn away,Not allow someone to enter a place.,The doorman TURNED him AWAY from
turn down,"Reduce volume, temperature, etc..","The room was too hot, so she TURNED"
